group_id,best_class,max_conf,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2
1,Leanbot_p195,0.61,260.89,334.18,55.04,35.50,0.34,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.61,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,233.37,316.43,288.41
1,Leanbot_p195,0.52,260.56,334.08,55.32,36.46,0.18,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,232.90,315.85,288.22
1,Leanbot_p195,0.38,261.21,334.14,54.82,36.14,0.22,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.38,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,233.80,316.07,288.62
1,Leanbot_0,0.36,260.97,334.01,54.67,35.09,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,233.64,316.46,288.31
1,Leanbot_0,0.33,261.13,334.08,54.60,35.78,0.33,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.13,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,233.83,316.19,288.43
1,Leanbot_p195,0.31,261.13,333.89,54.86,34.65,0.22,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.31,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,233.70,316.56,288.56
1,Leanbot_p195,0.20,260.38,334.37,54.64,36.16,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,233.06,316.29,287.70
1,Leanbot_0,0.09,261.02,333.62,54.61,34.97,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.71,316.13,288.32
1,Leanbot_m15,0.08,261.31,333.92,54.24,35.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,234.19,316.19,288.43
1,Leanbot_p180,0.06,261.39,334.01,54.12,35.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,234.33,316.19,288.45
1,Leanbot_m15,0.05,261.78,333.73,54.79,35.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,234.38,315.97,289.17
1,Leanbot_m15,0.03,261.39,334.07,54.08,35.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,234.35,316.24,288.43
1,Leanbot_p180,0.03,261.18,333.86,54.55,35.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,233.91,316.14,288.45
1,Leanbot_m15,0.03,261.46,333.99,52.69,36.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,235.11,315.93,287.80
1,Leanbot_p180,0.02,261.32,333.73,54.16,35.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,234.24,316.01,288.40
1,Leanbot_p180,0.02,262.07,333.17,53.18,35.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.48,315.67,288.66
1,Leanbot_p195,0.02,260.71,333.68,53.40,34.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,234.01,316.49,287.41
1,Leanbot_p180,0.02,261.42,334.09,53.87,35.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,234.49,316.46,288.36
2,Leanbot_p195,0.57,353.88,261.39,46.30,26.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,330.73,248.20,377.03
2,Leanbot_p180,0.47,353.87,261.26,46.57,26.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.47,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,330.58,247.85,377.16
2,Leanbot_m15,0.39,353.85,261.42,46.06,26.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,330.82,248.23,376.88
2,Leanbot_m15,0.36,353.87,261.35,46.86,26.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,330.44,248.01,377.30
2,Leanbot_p195,0.31,353.78,261.54,45.89,26.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.31,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,330.83,248.22,376.72
2,Leanbot_p180,0.28,353.88,261.71,46.01,27.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,330.88,248.17,376.88
2,Leanbot_p180,0.22,354.25,261.25,46.29,26.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,331.11,247.91,377.39
2,Leanbot_p195,0.13,353.56,261.29,45.54,26.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,330.79,248.20,376.33
2,Leanbot_p180,0.12,353.80,261.68,46.03,27.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,330.79,248.14,376.81
2,Leanbot_m15,0.10,354.49,261.73,44.99,26.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,332.00,248.61,376.99
2,Leanbot_m15,0.10,354.31,261.20,46.69,26.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,330.97,248.01,377.65
2,Leanbot_p195,0.07,353.67,261.58,46.58,26.80,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.38,248.18,376.96
2,Leanbot_p195,0.06,353.71,261.75,46.14,26.86,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.64,248.32,376.78
2,Leanbot_0,0.04,354.32,261.52,48.54,26.21,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,330.05,248.41,378.59
2,Leanbot_p195,0.03,353.89,261.48,46.21,26.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,330.78,248.30,377.00
2,Leanbot_p195,0.03,353.84,261.25,45.90,27.70,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.89,247.40,376.79
2,Leanbot_p195,0.03,353.95,261.33,46.04,27.84,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.93,247.41,376.97
2,Leanbot_p180,0.02,354.12,261.35,46.58,25.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,330.83,248.70,377.41
2,Leanbot_0,0.02,354.94,260.85,47.10,25.92,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.39,247.89,378.49
2,Leanbot_m15,0.02,354.23,261.08,46.58,25.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,330.94,248.44,377.52
2,Leanbot_p195,0.01,351.46,261.52,42.92,24.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,330.00,249.34,372.92
3,Leanbot_p195,0.56,438.42,258.48,50.64,27.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,413.10,244.71,463.74
3,Leanbot_p195,0.40,437.13,258.61,49.25,26.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,412.50,245.34,461.75
3,Leanbot_p180,0.35,439.12,259.10,47.99,27.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,415.12,245.30,463.12
3,Leanbot_p180,0.31,438.52,258.74,49.82,27.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.31,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,413.61,245.00,463.43
3,Leanbot_p180,0.28,439.11,258.69,48.97,27.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,414.62,245.09,463.60
3,Leanbot_p180,0.24,438.39,258.90,48.92,27.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.13,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,413.93,244.98,462.85
3,Leanbot_p195,0.20,438.25,258.32,49.55,28.65,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.20,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,413.48,244.00,463.02
3,Leanbot_p195,0.18,438.49,258.53,50.03,27.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.10,413.48,244.69,463.50
3,Leanbot_m15,0.16,438.33,258.64,50.48,27.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,413.09,244.93,463.57
3,Leanbot_m15,0.14,438.47,258.64,50.24,27.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,413.35,244.95,463.59
3,Leanbot_p195,0.11,438.17,258.20,51.01,28.70,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.11,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,412.67,243.85,463.68
3,Leanbot_m15,0.08,439.45,258.85,47.43,25.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,415.74,245.91,463.16
3,Leanbot_p195,0.07,438.33,258.34,49.75,28.49,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413.45,244.09,463.20
3,Leanbot_p180,0.06,438.52,258.77,49.49,26.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,413.77,245.60,463.26
3,Leanbot_p195,0.05,438.21,258.13,50.66,28.11,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,412.88,244.07,463.54
3,Leanbot_p195,0.05,437.03,258.93,48.39,26.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,412.83,245.75,461.22
3,Leanbot_p180,0.04,438.98,258.87,49.22,26.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,414.37,245.52,463.59
3,Leanbot_p195,0.04,437.07,258.71,48.24,26.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,412.95,245.46,461.19
3,Leanbot_p195,0.03,438.30,258.17,50.02,28.58,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413.29,243.88,463.31
3,Leanbot_m15,0.02,444.84,258.22,36.99,23.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,426.34,246.40,463.33
3,Leanbot_p195,0.02,438.22,258.72,50.15,28.30,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413.15,244.57,463.30
4,Leanbot_p180,0.48,501.77,417.02,72.37,53.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,465.58,390.36,537.95
4,Leanbot_m15,0.27,502.33,416.74,73.27,53.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,465.69,389.97,538.97
4,Leanbot_p180,0.21,501.98,416.42,71.97,54.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,466.00,389.37,537.97
4,Leanbot_p180,0.19,501.73,416.88,72.11,53.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,465.68,390.02,537.78
4,Leanbot_p195,0.19,500.83,416.48,72.93,50.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,464.37,391.44,537.29
